time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-07 00:00:00+00:00,2.0,2.0,,
2023-11-08 00:00:00+00:00,1.0,1.0,4.0,3.0
2023-11-09 00:00:00+00:00,,,3.0,2.0
2023-11-11 00:00:00+00:00,1.0,1.0,1.0,1.0
2023-11-12 00:00:00+00:00,1.0,1.0,,
2023-11-13 00:00:00+00:00,2.0,2.0,,
2023-11-17 00:00:00+00:00,2.0,1.0,,
2023-11-20 00:00:00+00:00,2.0,2.0,4.0,4.0
2023-11-21 00:00:00+00:00,50.0,5.0,8.0,2.0
