time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-07 00:00:00+00:00,2,2,0,0
2023-11-08 00:00:00+00:00,1,1,4,3
2023-11-09 00:00:00+00:00,0,0,3,2
2023-11-11 00:00:00+00:00,1,1,1,1
2023-11-12 00:00:00+00:00,1,1,0,0
2023-11-13 00:00:00+00:00,2,2,0,0
2023-11-17 00:00:00+00:00,2,1,0,0
2023-11-20 00:00:00+00:00,2,2,4,4
2023-11-21 00:00:00+00:00,50,5,8,2
